listing_id,listing_price_usd,square_feet,bedrooms,bathrooms,home_age_years,school_rating,walk_score,mortgage_rate_percent,property_type,market_temperature,sold_within_30_days
listing-0164,728000,2060,3,1.00,67,4,54,8.37,condo,balanced,0
listing-0165,348000,1210,1,1.00,84,5,38,5.91,single-family,hot,1
listing-0166,950000,2990,5,1.00,11,6,5,6.80,single-family,cool,0
listing-0167,960000,2610,4,2.00,71,7,73,8.15,townhouse,cool,1
listing-0168,766000,1970,1,3.00,93,5,86,8.34,condo,cool,0
listing-0171,642000,1800,2,2.00,95,7,73,8.37,single-family,balanced,0
listing-0172,744000,2520,3,2.50,51,4,33,7.06,single-family,cool,0
listing-0173,995000,3030,4,2.00,10,7,41,5.40,single-family,hot,0
listing-0174,921000,2600,3,2.00,65,4,87,7.51,single-family,balanced,1
listing-0175,652000,2620,4,2.00,93,3,44,6.56,townhouse,balanced,0
listing-0176,487000,2000,2,3.00,71,2,74,6.59,single-family,hot,1
listing-0177,920000,3100,5,2.00,11,4,54,7.31,townhouse,balanced,0
listing-0178,698000,1680,2,2.50,36,9,61,5.49,townhouse,balanced,1
listing-0179,792000,2590,4,1.50,33,6,42,6.94,townhouse,balanced,0
listing-0180,647000,2100,3,1.50,36,6,48,6.19,townhouse,balanced,0
listing-0181,919000,2130,3,1.00,39,7,79,7.95,single-family,cool,0
listing-0182,987000,3170,5,2.00,87,6,45,5.66,condo,balanced,0
listing-0183,1148000,2970,4,2.00,1,7,46,7.73,condo,balanced,0
listing-0184,756000,2180,3,2.50,91,6,68,5.64,condo,hot,0
listing-0185,809000,2480,3,2.00,28,5,54,6.37,single-family,balanced,1
listing-0186,885000,2530,4,2.00,46,7,71,7.40,townhouse,balanced,0
listing-0187,1055000,2630,4,2.50,33,9,57,5.44,condo,cool,0
listing-0188,421000,1800,2,1.00,46,4,16,8.34,single-family,balanced,0
listing-0189,781000,1870,2,2.50,90,8,61,5.71,condo,cool,0
listing-0190,710000,2060,2,2.50,12,5,51,7.71,condo,hot,0
listing-0191,1024000,2970,4,3.50,14,5,48,5.45,single-family,cool,1
listing-0192,1031000,2560,4,2.00,6,7,74,8.13,townhouse,balanced,0
listing-0193,572000,1940,2,2.00,43,7,49,6.03,townhouse,balanced,1
listing-0194,1054000,2760,4,2.00,15,9,74,7.02,single-family,cool,1
listing-0196,829000,2520,3,2.50,25,5,57,5.26,single-family,hot,1
listing-0197,971000,2780,3,3.50,42,7,67,6.02,single-family,cool,1
listing-0198,642000,1980,2,2.50,77,5,63,5.37,condo,balanced,1
listing-0199,627000,1930,2,2.00,89,8,54,6.63,single-family,hot,1
listing-0200,636000,1970,3,1.50,43,7,71,6.32,townhouse,hot,1
listing-0201,892000,2270,3,2.00,75,7,85,7.53,condo,cool,0
listing-0202,688000,2190,3,2.00,39,3,71,5.92,single-family,cool,0
listing-0204,747000,2390,3,3.00,78,7,47,7.31,single-family,balanced,0
listing-0205,503000,1310,1,3.00,12,10,35,5.52,condo,cool,1
listing-0210,592000,1670,1,2.00,45,6,77,7.51,single-family,hot,1
listing-0211,940000,2500,3,3.50,30,7,42,8.15,single-family,cool,0
listing-0212,846000,2550,3,2.50,78,9,75,7.16,single-family,hot,0
listing-0213,447000,1230,1,1.50,36,8,5,7.07,townhouse,cool,0
listing-0214,830000,2310,3,2.00,26,6,56,7.14,condo,balanced,0
listing-0215,582000,1580,1,2.00,11,9,64,7.45,townhouse,hot,0
listing-0216,836000,2110,3,2.50,34,8,54,7.64,condo,hot,0
listing-0217,535000,2380,3,2.50,54,4,6,6.88,single-family,cool,0
listing-0219,861000,3210,5,1.50,81,5,49,7.76,single-family,balanced,0
listing-0220,942000,2550,3,2.50,77,9,40,6.84,single-family,hot,0
listing-0221,637000,2430,3,2.50,83,4,57,7.93,condo,cool,0
listing-0222,722000,2250,3,2.50,77,7,87,8.10,single-family,balanced,1
listing-0223,608000,1500,1,2.50,22,8,50,5.64,single-family,hot,1
listing-0224,630000,2250,3,3.50,19,5,25,5.49,single-family,cool,0
listing-0226,546000,2060,3,2.00,61,5,98,6.84,single-family,cool,1
listing-0227,532000,2060,2,1.00,18,7,25,8.16,townhouse,balanced,0
listing-0229,1179000,3310,5,2.50,63,7,27,7.60,condo,balanced,0
listing-0230,1118000,2840,4,2.50,23,6,68,6.40,townhouse,balanced,0
listing-0231,785000,2130,3,2.00,52,6,83,5.89,townhouse,cool,0
listing-0233,806000,2000,2,2.00,25,7,98,7.14,single-family,balanced,0
listing-0234,637000,2140,3,2.50,84,9,36,6.16,single-family,cool,0
listing-0236,477000,2160,3,1.50,73,4,32,7.22,single-family,cool,1
listing-0237,795000,2220,3,2.00,46,7,45,5.57,single-family,balanced,0
listing-0238,709000,2130,3,1.00,54,5,27,6.35,single-family,balanced,0
listing-0239,819000,2850,4,2.00,61,4,52,7.23,single-family,balanced,0
listing-0240,975000,3020,4,3.00,36,4,51,7.66,condo,cool,0
